(12288, 3209, '192.1568.56.102', '192.1568.56.102')
(9216, 7481, '192.168.56.101', '192.168.56.101')
(6147, 12956, '192.168.56.101', '192.168.56.101')
(17409, 9837, '192.1568.56.102', '192.1568.56.102')
(3209, 702, '192.1568.56.102', '192.1568.56.102')
(16397, 8167, '192.168.56.101', '192.168.56.101')
(12956, 1273, '192.168.56.101', '192.168.56.101')
(4637, 3491, '192.1568.56.102', '192.1568.56.102')
(4637, 9837, '192.1568.56.102', '192.1568.56.102')
(9505, 7481, '192.168.56.101', '192.168.56.101')
(9505, 701, '192.168.56.101', '192.168.56.101')
(3491, 701, '192.1568.56.102', '192.168.56.101')
(9900, 10223, '192.1568.56.102', '192.1568.56.102')
(7473, 7474, '192.1568.56.102', '192.1568.56.102')
(7473, 6762, '192.1568.56.102', '192.168.56.101')
(7474, 10223, '192.1568.56.102', '192.1568.56.102')
(701, 8167, '192.168.56.101', '192.168.56.101')
(701, 6762, '192.168.56.101', '192.168.56.101')
(701, 4725, '192.168.56.101', '192.168.56.101')
(701, 702, '192.168.56.101', '192.1568.56.102')
(4725, 1273, '192.168.56.101', '192.168.56.101')
